SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
12880,COMP PROGRAMMING I,CSE121,A,0,240,WF,1130-1220
12881,COMP PROGRAMMING I,CSE121,AA,0,21,TTh,830-920
12882,COMP PROGRAMMING I,CSE121,AB,0,21,TTh,930-1020
12883,COMP PROGRAMMING I,CSE121,AC,0,20,TTh,1030-1120
12884,COMP PROGRAMMING I,CSE121,AD,0,21,TTh,1130-1220
12885,COMP PROGRAMMING I,CSE121,AE,0,21,TTh,1230-120
12886,COMP PROGRAMMING I,CSE121,AF,0,21,TTh,130-220
12887,COMP PROGRAMMING I,CSE121,AG,0,21,TTh,230-320
12888,COMP PROGRAMMING I,CSE121,AH,0,21,TTh,330-420
12891,COMP PROGRAMMING I,CSE121,AK,0,21,TTh,1030-1120
12892,COMP PROGRAMMING I,CSE121,AL,0,21,TTh,1130-1220
12893,COMP PROGRAMMING I,CSE121,AM,0,21,TTh,1230-120
12894,COMP PROGRAMMING I,CSE121,AN,0,10,TTh,130-220
12907,COMP PROGRAMMING I,CSE121,B,0,329,WF,230-320
12908,COMP PROGRAMMING I,CSE121,BA,0,21,TTh,830-920
12909,COMP PROGRAMMING I,CSE121,BB,0,22,TTh,930-1020
12910,COMP PROGRAMMING I,CSE121,BC,0,22,TTh,1030-1120
12911,COMP PROGRAMMING I,CSE121,BD,0,22,TTh,1130-1220
12912,COMP PROGRAMMING I,CSE121,BE,0,21,TTh,1230-120
12913,COMP PROGRAMMING I,CSE121,BF,0,21,TTh,130-220
12914,COMP PROGRAMMING I,CSE121,BG,0,21,TTh,230-320
12915,COMP PROGRAMMING I,CSE121,BH,0,21,TTh,330-420
12917,COMP PROGRAMMING I,CSE121,BJ,0,21,TTh,930-1020
12918,COMP PROGRAMMING I,CSE121,BK,0,21,TTh,1030-1120
12919,COMP PROGRAMMING I,CSE121,BL,0,21,TTh,1130-1220
12920,COMP PROGRAMMING I,CSE121,BM,0,21,TTh,1230-120
12921,COMP PROGRAMMING I,CSE121,BN,0,11,TTh,130-220
12922,COMP PROGRAMMING I,CSE121,BO,0,21,TTh,230-320
12923,COMP PROGRAMMING I,CSE121,BP,0,21,TTh,330-420
22550,COMP PROGRAMMING I,CSE121,BQ,0,21,TTh,1230-120
12924,COMP PROGRAMMING II ,CSE122,A,0,376,WF,1130-1220
12925,COMP PROGRAMMING II ,CSE122,AA,0,21,TTh,830-920
12926,COMP PROGRAMMING II ,CSE122,AB,0,21,TTh,930-1020
12927,COMP PROGRAMMING II ,CSE122,AC,0,22,TTh,1030-1120
12928,COMP PROGRAMMING II ,CSE122,AD,0,22,TTh,1130-1220
12929,COMP PROGRAMMING II ,CSE122,AE,0,22,TTh,1230-120
12930,COMP PROGRAMMING II ,CSE122,AF,0,21,TTh,130-220
12931,COMP PROGRAMMING II ,CSE122,AG,0,21,TTh,230-320
12932,COMP PROGRAMMING II ,CSE122,AH,0,21,TTh,330-420
12934,COMP PROGRAMMING II ,CSE122,AJ,0,21,TTh,930-1020
12935,COMP PROGRAMMING II ,CSE122,AK,0,21,TTh,1030-1120
12936,COMP PROGRAMMING II ,CSE122,AL,0,21,TTh,1130-1220
12937,COMP PROGRAMMING II ,CSE122,AM,0,21,TTh,1230-120
12938,COMP PROGRAMMING II ,CSE122,AN,0,21,TTh,130-220
12939,COMP PROGRAMMING II ,CSE122,AO,0,21,TTh,230-320
12940,COMP PROGRAMMING II ,CSE122,AP,0,21,TTh,330-420
22462,COMP PROGRAMMING II ,CSE122,AQ,0,21,TTh,1230-120
22463,COMP PROGRAMMING II ,CSE122,AR,0,21,TTh,230-320
22551,COMP PROGRAMMING II ,CSE122,AS,0,16,TTh,330-420
12941,COMP PROGRAMMING II ,CSE122,B,0,386,WF,330-420
12942,COMP PROGRAMMING II ,CSE122,BA,0,21,TTh,830-920
12943,COMP PROGRAMMING II ,CSE122,BB,0,21,TTh,930-1020
12944,COMP PROGRAMMING II ,CSE122,BC,0,21,TTh,1030-1120
12945,COMP PROGRAMMING II ,CSE122,BD,0,21,TTh,1130-1220
12946,COMP PROGRAMMING II ,CSE122,BE,0,21,TTh,1230-120
12947,COMP PROGRAMMING II ,CSE122,BF,0,21,TTh,130-220
12948,COMP PROGRAMMING II ,CSE122,BG,0,21,TTh,230-320
12949,COMP PROGRAMMING II ,CSE122,BH,0,21,TTh,330-420
12950,COMP PROGRAMMING II ,CSE122,BI,0,21,TTh,830-920
12951,COMP PROGRAMMING II ,CSE122,BJ,0,21,TTh,930-1020
12952,COMP PROGRAMMING II ,CSE122,BK,0,21,TTh,1030-1120
12953,COMP PROGRAMMING II ,CSE122,BL,0,21,TTh,1130-1220
12954,COMP PROGRAMMING II ,CSE122,BM,0,21,TTh,1230-120
12955,COMP PROGRAMMING II ,CSE122,BN,0,21,TTh,130-220
12956,COMP PROGRAMMING II ,CSE122,BO,0,21,TTh,230-320
12957,COMP PROGRAMMING II ,CSE122,BP,0,21,TTh,330-420
22446,COMP PROGRAMMING II ,CSE122,BQ,0,21,TTh,1230-120
22447,COMP PROGRAMMING II ,CSE122,BR,0,21,TTh,230-320
22448,COMP PROGRAMMING II ,CSE122,BS,0,5,TTh,330-420
12958,COMP PROGRAMMING III,CSE123,A,0,290,WF,230-320
12959,COMP PROGRAMMING III,CSE123,AA,0,13,TTh,830-920
12960,COMP PROGRAMMING III,CSE123,AB,0,21,TTh,930-1020
12961,COMP PROGRAMMING III,CSE123,AC,0,21,TTh,1030-1120
12962,COMP PROGRAMMING III,CSE123,AD,0,21,TTh,1130-1220
12963,COMP PROGRAMMING III,CSE123,AE,0,21,TTh,1230-120
12964,COMP PROGRAMMING III,CSE123,AF,0,21,TTh,130-220
12965,COMP PROGRAMMING III,CSE123,AG,0,21,TTh,230-320
12966,COMP PROGRAMMING III,CSE123,AH,0,11,TTh,330-420
12968,COMP PROGRAMMING III,CSE123,AJ,0,9,TTh,930-1020
12969,COMP PROGRAMMING III,CSE123,AK,0,21,TTh,1030-1120
12970,COMP PROGRAMMING III,CSE123,AL,0,21,TTh,1130-1220
12971,COMP PROGRAMMING III,CSE123,AM,0,21,TTh,1230-120
12972,COMP PROGRAMMING III,CSE123,AN,0,21,TTh,130-220
12973,COMP PROGRAMMING III,CSE123,AO,0,15,TTh,230-320
12974,COMP PROGRAMMING III,CSE123,AP,0,10,TTh,330-420
22449,COMP PROGRAMMING III,CSE123,AQ,0,21,TTh,1230-120
12975,COMP PROGRAMMING III,CSE123,B,0,237,WF,1230-120
12976,COMP PROGRAMMING III,CSE123,BA,0,8,TTh,830-920
12977,COMP PROGRAMMING III,CSE123,BB,0,21,TTh,930-1020
12978,COMP PROGRAMMING III,CSE123,BC,0,21,TTh,1030-1120
12979,COMP PROGRAMMING III,CSE123,BD,0,21,TTh,1130-1220
12980,COMP PROGRAMMING III,CSE123,BE,0,21,TTh,1230-120
12981,COMP PROGRAMMING III,CSE123,BF,0,21,TTh,130-220
12982,COMP PROGRAMMING III,CSE123,BG,0,21,TTh,230-320
12983,COMP PROGRAMMING III,CSE123,BH,0,21,TTh,330-420
12985,COMP PROGRAMMING III,CSE123,BJ,0,12,TTh,930-1020
12986,COMP PROGRAMMING III,CSE123,BK,0,21,TTh,1030-1120
12988,COMP PROGRAMMING III,CSE123,BM,0,21,TTh,1230-120
12989,COMP PROGRAMMING III,CSE123,BN,0,21,TTh,130-220
12990,COMP PROGRAMMING III,CSE123,BO,0,6,TTh,230-320
12994,COMPUTER PRGRMNG II ,CSE143,A,0,114,MWF,330-420
12997,COMPUTER PRGRMNG II ,CSE143,AC,0,19,TTh,930-1020
13000,COMPUTER PRGRMNG II ,CSE143,AF,0,19,TTh,1030-1120
13002,COMPUTER PRGRMNG II ,CSE143,AH,0,19,TTh,1130-1220
13004,COMPUTER PRGRMNG II ,CSE143,AJ,0,19,TTh,1230-120
13005,COMPUTER PRGRMNG II ,CSE143,AK,0,19,TTh,130-220
13009,COMPUTER PRGRMNG II ,CSE143,AO,0,19,TTh,330-420
13013,DATA PROGRAMMING,CSE160,A,0,240,MWF,330-420
13014,DATA PROGRAMMING,CSE160,AA,0,27,Th,1130-1220
13015,DATA PROGRAMMING,CSE160,AB,0,27,Th,1230-120
13016,DATA PROGRAMMING,CSE160,AC,0,27,Th,130-220
13017,DATA PROGRAMMING,CSE160,AD,0,27,Th,230-320
13018,DATA PROGRAMMING,CSE160,AE,0,27,Th,330-420
13019,DATA PROGRAMMING,CSE160,AF,0,26,Th,930-1020
13020,DATA PROGRAMMING,CSE160,AG,0,27,Th,1030-1120
13021,DATA PROGRAMMING,CSE160,AH,0,27,Th,1130-1220
13022,DATA PROGRAMMING,CSE160,AI,0,25,Th,1230-120
13023,INTERM DATA PROGRAM ,CSE163,A,0,240,MWF,1130-1220
13024,INTERM DATA PROGRAM ,CSE163,AA,0,24,Th,830-920
13025,INTERM DATA PROGRAM ,CSE163,AB,0,27,Th,930-1020
13026,INTERM DATA PROGRAM ,CSE163,AC,0,27,Th,1030-1120
13027,INTERM DATA PROGRAM ,CSE163,AD,0,27,Th,1130-1220
13028,INTERM DATA PROGRAM ,CSE163,AE,0,27,Th,1230-120
13029,INTERM DATA PROGRAM ,CSE163,AF,0,27,Th,130-220
13030,INTERM DATA PROGRAM ,CSE163,AG,0,27,Th,230-320
13031,INTERM DATA PROGRAM ,CSE163,AH,0,27,Th,330-420
13032,INTERM DATA PROGRAM ,CSE163,AI,0,27,Th,1230-120
13034,INTERM DATA PROGRAM ,CSE163,F,0,42,T,830-920
13035,INTERM DATA PROGRAM ,CSE163,G,0,40,T,930-1020
13036,INTERM DATA PROGRAM ,CSE163,H,0,40,T,1030-1120
13037,INTERM DATA PROGRAM ,CSE163,I,0,40,T,1130-1220
13038,INTERM DATA PROGRAM ,CSE163,J,0,40,T,1230-120
13039,INTERM DATA PROGRAM ,CSE163,K,0,40,T,130-220
13040,INTERM DATA PROGRAM ,CSE163,L,0,40,T,230-320
13041,INTERM DATA PROGRAM ,CSE163,M,0,40,T,330-420
13042,INTERM DATA PROGRAM ,CSE163,N,0,40,T,1030-1120
13043,INTERM DATA PROGRAM ,CSE163,O,0,40,T,1130-1220
13044,INTERM DATA PROGRAM ,CSE163,P,0,40,T,1230-120
13045,INTERM DATA PROGRAM ,CSE163,Q,0,40,T,130-220
22347,INTERM DATA PROGRAM ,CSE163,W,0,30,T,230-350
22348,INTERM DATA PROGRAM ,CSE163,X,0,30,T,230-350
13046,INTERM DATA PROGRAM ,CSE163,Y,0,45,Th,230-350
13047,INTERM DATA PROGRAM ,CSE163,Z,0,25,T,1230-150
13048,CURRENT TOPICS CSE,CSE190,A,0,80,empty,empty
13049,CSE INTERNSHIP,CSE301,A,0,130,MWF,930-1020
13050,CSE INTERNSHIP,CSE301,AA,0,26,Th,1130-1220
13051,CSE INTERNSHIP,CSE301,AB,0,26,Th,1230-120
13052,CSE INTERNSHIP,CSE301,AC,0,26,Th,130-220
13053,CSE INTERNSHIP,CSE301,AD,0,26,Th,230-320
13054,CSE INTERNSHIP,CSE301,AE,0,26,Th,330-420
13055,FOUNDATIONS COMP I,CSE311,A,0,230,MWF,930-1020
13056,FOUNDATIONS COMP I,CSE311,AA,0,30,Th,930-1020
13057,FOUNDATIONS COMP I,CSE311,AB,0,29,Th,1030-1120
13058,FOUNDATIONS COMP I,CSE311,AC,0,29,Th,1130-1220
13059,FOUNDATIONS COMP I,CSE311,AD,0,29,Th,1230-120
13060,FOUNDATIONS COMP I,CSE311,AE,0,29,Th,130-220
13061,FOUNDATIONS COMP I,CSE311,AF,0,29,Th,230-320
13062,FOUNDATIONS COMP I,CSE311,AG,0,26,Th,330-420
13063,FOUNDATIONS COMP I,CSE311,AH,0,28,Th,1230-120
13070,FOUNDATIONS COMP II ,CSE312,A,0,180,MWF,1030-1120
13071,FOUNDATIONS COMP II ,CSE312,AA,0,30,Th,830-920
13072,FOUNDATIONS COMP II ,CSE312,AB,0,30,Th,930-1020
13073,FOUNDATIONS COMP II ,CSE312,AC,0,30,Th,1030-1120
13074,FOUNDATIONS COMP II ,CSE312,AD,0,30,Th,1130-1220
13075,FOUNDATIONS COMP II ,CSE312,AE,0,30,Th,1230-120
13076,FOUNDATIONS COMP II ,CSE312,AF,0,30,Th,130-220
13077,FOUNDATIONS COMP II ,CSE312,B,0,110,MWF,230-320
13078,FOUNDATIONS COMP II ,CSE312,BA,0,28,Th,1230-120
13079,FOUNDATIONS COMP II ,CSE312,BB,0,28,Th,130-220
13080,FOUNDATIONS COMP II ,CSE312,BC,0,27,Th,230-320
13081,FOUNDATIONS COMP II ,CSE312,BD,0,27,Th,330-420
13082,SW DESIGN & IMPL,CSE331,A,0,198,MWF,1230-120
13083,SW DESIGN & IMPL,CSE331,AA,0,27,Th,830-920
13084,SW DESIGN & IMPL,CSE331,AB,0,28,Th,930-1020
13085,SW DESIGN & IMPL,CSE331,AC,0,28,Th,1030-1120
13086,SW DESIGN & IMPL,CSE331,AD,0,28,Th,1130-1220
13087,SW DESIGN & IMPL,CSE331,AE,0,28,Th,1230-120
13088,SW DESIGN & IMPL,CSE331,AF,0,28,Th,330-420
13089,SW DESIGN & IMPL,CSE331,AG,0,28,Th,1230-120
13090,SW DESIGN & IMPL,CSE331,B,0,110,MWF,330-420
13091,SW DESIGN & IMPL,CSE331,BA,0,27,Th,1230-120
13092,SW DESIGN & IMPL,CSE331,BB,0,27,Th,130-220
13093,SW DESIGN & IMPL,CSE331,BC,0,27,Th,230-320
13096,SW DESIGN & IMPL,CSE331,BF,0,26,Th,330-420
13097,DATA STRUC & PRLLEL ,CSE332,A,0,110,MWF,1130-1220
13099,DATA STRUC & PRLLEL ,CSE332,AB,0,27,Th,930-1020
13100,DATA STRUC & PRLLEL ,CSE332,AC,0,27,Th,1030-1120
13101,DATA STRUC & PRLLEL ,CSE332,AD,0,28,Th,1130-1220
13102,DATA STRUC & PRLLEL ,CSE332,AE,0,28,Th,1230-120
13103,DATA STRUC & PRLLEL ,CSE332,B,0,110,MWF,130-220
13104,DATA STRUC & PRLLEL ,CSE332,BA,0,28,Th,1230-120
13105,DATA STRUC & PRLLEL ,CSE332,BB,0,28,Th,130-220
13106,DATA STRUC & PRLLEL ,CSE332,BC,0,27,Th,230-320
13107,DATA STRUC & PRLLEL ,CSE332,BD,0,27,Th,330-420
13108,SYSTEMS PROGRAMMING ,CSE333,A,0,55,MWF,1030-1120
13109,SYSTEMS PROGRAMMING ,CSE333,AA,0,35,Th,1230-120
13110,SYSTEMS PROGRAMMING ,CSE333,AB,0,35,Th,130-220
13111,INTERACTION PROG,CSE340,A,0,58,MWF,1030-1120
13114,INTERACTION PROG,CSE340,AC,0,29,Th,1030-1120
13115,INTERACTION PROG,CSE340,AD,0,29,Th,1130-1220
13116,PROGRAMMING LANGS,CSE341,A,0,165,MWF,1030-1120
13117,PROGRAMMING LANGS,CSE341,AA,0,33,Th,830-920
13118,PROGRAMMING LANGS,CSE341,AB,0,33,Th,930-1020
13119,PROGRAMMING LANGS,CSE341,AC,0,33,Th,1030-1120
13120,PROGRAMMING LANGS,CSE341,AD,0,33,Th,1230-120
13121,PROGRAMMING LANGS,CSE341,AE,0,33,Th,930-1020
13122,INTRO DATA MGMT,CSE344,A,0,135,MWF,1130-1220
13123,INTRO DATA MGMT,CSE344,AA,0,25,Th,830-920
13124,INTRO DATA MGMT,CSE344,AB,0,27,Th,930-1020
13125,INTRO DATA MGMT,CSE344,AC,0,25,Th,1030-1120
13126,INTRO DATA MGMT,CSE344,AD,0,25,Th,1230-120
13127,INTRO DATA MGMT,CSE344,AE,0,32,Th,1130-1220
13128,INTRO DATA MGMT,CSE344,B,0,22,MWF,1130-1220
